cruise,date
1996/0009,1992-09-17
1996/0009,1992-09-18
1996/0009,1992-09-19
1996/0009,1992-09-20
1996/0010,1992-10-08
1996/0010,1992-10-10
1996/0010,1992-10-13
1996/0010,1992-10-14
1996/0010,1992-10-15
1996/0010,1992-10-19
1996/0010,1992-10-21
1996/0049,1990-11-07
1996/0049,1990-11-10
1996/0049,1990-11-11
1996/0049,1990-11-12
1996/0049,1990-11-14
1996/0049,1990-11-17
1996/0049,1990-11-21
1996/0049,1990-11-22
1996/0049,1990-11-24
1996/0049,1990-11-25
1996/0049,1990-11-26
1996/0049,1990-11-27
1996/0057,1987-11-15
1996/0057,1987-11-16
1996/0057,1987-11-20
1996/0057,1987-11-21
1996/0057,1987-11-22
1996/0057,1987-11-23
1996/0084,1996-04-11
1996/0084,1996-04-12
1996/0084,1996-04-14
1996/0084,1996-04-15
1996/0084,1996-04-16
1996/0084,1996-04-17
1996/0084,1996-04-18
1996/0084,1996-04-19
1996/0084,1996-04-20
1996/0084,1996-04-21
1996/0084,1996-04-22
1996/0084,1996-04-23
1996/0084,1996-04-24
1996/0084,1996-04-25
1996/0084,1996-04-26
1996/0084,1996-04-27
1996/0084,1996-04-28
1996/0084,1996-04-29
1998/0019,1997-04-15
1998/0019,1997-04-16
1998/0019,1997-04-18
1998/0019,1997-04-19
1998/0019,1997-04-20
1998/0019,1997-04-24
1998/0019,1997-04-25
1998/0019,1997-04-26
1998/0019,1997-04-27
1998/0019,1997-04-28
1998/0019,1997-04-29
1998/0019,1997-04-30
1998/0019,1997-05-01
1998/0019,1997-05-02
1998/0019,1997-05-03
1998/0019,1997-05-04
1998/0019,1997-05-05
1998/0019,1997-05-06
1998/0037,1987-01-07
1998/0037,1987-01-08
1998/0037,1987-01-09
1998/0037,1987-01-10
1998/0037,1987-01-11
1998/0037,1987-01-12
1998/0037,1987-01-13
1998/0037,1987-01-14
1998/0037,1987-01-15
1998/0037,1987-01-16
1998/0037,1987-01-17
1998/0037,1987-01-18
1998/0037,1987-01-19
1998/0037,1987-01-20
1998/0037,1987-01-21
1998/0037,1987-01-22
1998/0037,1987-01-23
1998/0037,1987-01-24
1998/0037,1987-01-25
1998/0037,1987-01-26
1998/0037,1987-01-27
1998/0037,1987-01-28
1998/0037,1987-01-29
1998/0048,1987-06-16
1998/0048,1987-06-17
1998/0048,1987-06-18
1998/0048,1987-06-19
1998/0048,1987-06-20
1998/0048,1987-06-21
1998/0048,1987-06-22
1998/0048,1987-06-23
1998/0048,1987-06-24
1998/0048,1987-06-25
1998/0048,1987-06-26
1998/0048,1987-06-27
1998/0048,1987-06-28
1998/0048,1987-06-29
1998/0048,1987-06-30
1998/0048,1987-07-01
1998/0048,1987-07-02
1998/0048,1987-07-03
1998/0048,1987-07-04
1998/0048,1987-07-05
1998/0048,1987-07-06
1998/0048,1987-07-07
1998/0048,1987-07-08
1998/0048,1987-07-09
1998/0048,1987-07-10
1998/0049,1988-02-02
1998/0049,1988-02-03
1998/0049,1988-02-04
1998/0049,1988-02-05
1998/0049,1988-02-06
1998/0049,1988-02-07
1998/0049,1988-02-08
1998/0049,1988-02-09
1998/0049,1988-02-10
1998/0049,1988-02-11
1998/0049,1988-02-12
1998/0049,1988-02-13
1998/0049,1988-02-14
1998/0049,1988-02-15
1998/0049,1988-02-16
1998/0049,1988-02-17
1998/0049,1988-02-18
1998/0049,1988-02-19
1998/0049,1988-02-20
1998/0049,1988-02-21
1998/0049,1988-02-22
1998/0049,1988-02-23
1998/0049,1988-02-24
1999/0008,1998-09-01
1999/0008,1998-09-02
1999/0008,1998-09-03
1999/0008,1998-09-04
1999/0008,1998-09-05
1999/0008,1998-09-06
1999/0035,1999-01-12
1999/0035,1999-01-16
1999/0035,1999-01-17
1999/0035,1999-01-18
1999/0035,1999-01-19
1999/0035,1999-01-20
1999/0035,1999-01-21
1999/0035,1999-01-22
1999/0035,1999-01-23
1999/0035,1999-01-24
1999/0035,1999-01-25
1999/0035,1999-01-26
1999/0035,1999-01-27
1999/0035,1999-01-28
1999/0035,1999-01-29
1999/0035,1999-01-30
1999/0035,1999-01-31
1999/0035,1999-02-01
1999/0035,1999-02-02
1999/0035,1999-02-03
1999/0035,1999-02-04
2000/0015,2000-08-22
2000/0015,2000-08-23
2000/0015,2000-08-24
2000/0015,2000-08-25
2000/0015,2000-08-26
2000/0015,2000-08-27
2000/0015,2000-08-28
2000/0015,2000-08-30
2001/0001,1995-04-23
2001/0001,1995-04-24
2001/0001,1995-04-25
2001/0001,1995-04-26
2001/0001,1995-04-27
2001/0001,1995-04-28
2001/0001,1995-04-29
2001/0001,1995-04-30
2001/0001,1995-05-01
2001/0001,1995-05-02
2001/0001,1995-05-03
2001/0001,1995-05-04
2001/0001,1995-05-05
2001/0001,1995-05-06
2001/0001,1995-05-07
2001/0001,1995-05-08
2001/0001,1995-05-09
2001/0001,1995-05-10
2001/0001,1995-05-11
2001/0001,1995-05-12
2001/0001,1995-05-13
2001/0001,1995-05-14
2001/0001,1995-05-15
2001/0002,1995-09-29
2001/0002,1995-09-30
2001/0002,1995-10-01
2001/0002,1995-10-02
2001/0002,1995-10-03
2001/0002,1995-10-04
2001/0002,1995-10-05
2001/0002,1995-10-06
2001/0002,1995-10-07
2001/0002,1995-10-08
2001/0002,1995-10-09
2001/0002,1995-10-10
2001/0002,1995-10-11
2001/0002,1995-10-13
2001/0002,1995-10-14
2001/0002,1995-10-15
2001/0002,1995-10-16
2001/0002,1995-10-17
2001/0002,1995-10-18
2001/0002,1995-10-19
2001/0003,1995-11-13
2001/0003,1995-11-17
2001/0003,1995-11-23
2001/0003,1995-11-24
2001/0003,1995-11-26
2001/0003,1995-11-28
2001/0004,1996-01-13
2001/0004,1996-01-14
2001/0004,1996-01-15
2001/0004,1996-01-16
2001/0004,1996-01-17
2001/0004,1996-01-18
2001/0004,1996-01-19
2001/0004,1996-01-21
2001/0004,1996-02-02
2001/0004,1996-02-03
2001/0004,1996-02-04
2001/0004,1996-02-05
2001/0004,1996-02-06
2001/0004,1996-02-07
2001/0004,1996-02-08
2001/0004,1996-02-09
2001/0004,1996-02-10
2001/0004,1996-02-11
2001/0004,1996-02-12
2001/0004,1996-02-13
2001/0004,1996-02-14
2001/0004,1996-02-15
2001/0004,1996-02-16
2001/0004,1996-02-17
2001/0004,1996-02-18
2001/0004,1996-02-19
2001/0005,1997-01-09
2001/0005,1997-01-10
2001/0005,1997-01-11
2001/0005,1997-01-12
2001/0005,1997-01-13
2001/0005,1997-01-14
2001/0005,1997-01-15
2001/0005,1997-01-16
2001/0005,1997-01-17
2001/0005,1997-01-18
2001/0005,1997-01-19
2001/0005,1997-01-20
2001/0005,1997-01-21
2001/0005,1997-01-22
2001/0005,1997-01-23
2001/0005,1997-01-24
2001/0005,1997-01-25
2001/0005,1997-01-26
2001/0005,1997-01-27
2001/0005,1997-01-28
2001/0005,1997-01-29
2001/0005,1997-01-30
2001/0006,2000-11-01
2001/0006,2000-11-03
2001/0006,2000-11-04
2001/0006,2000-11-05
2001/0006,2000-11-06
2001/0006,2000-11-07
2001/0006,2000-11-08
2001/0006,2000-11-09
2001/0006,2000-11-10
2001/0006,2000-11-28
2001/0006,2000-11-29
2001/0010,2000-10-12
2001/0010,2000-10-13
2001/0010,2000-10-14
2001/0010,2000-10-15
2001/0010,2000-10-16
2001/0010,2000-10-17
2001/0010,2000-10-18
2001/0010,2000-10-19
2001/0014,1994-01-05
2001/0014,1994-01-06
2001/0014,1994-01-07
2001/0014,1994-01-08
2001/0014,1994-01-09
2001/0014,1994-01-10
2001/0014,1994-01-11
2001/0014,1994-01-12
2001/0014,1994-01-13
2001/0014,1994-01-14
2001/0014,1994-01-15
2001/0014,1994-01-16
2001/0014,1994-01-17
2001/0014,1994-01-18
2001/0014,1994-01-19
2001/0014,1994-01-20
2001/0014,1994-01-21
2001/0014,1994-01-22
2001/0014,1994-01-23
2001/0014,1994-01-24
2001/0014,1994-01-25
2001/0016,1995-05-10
2001/0016,1995-05-11
2001/0016,1995-05-12
2001/0016,1995-05-13
2001/0016,1995-05-14
2001/0026,2001-02-08
2001/0026,2001-02-09
2001/0026,2001-02-10
2001/0026,2001-02-11
2001/0026,2001-02-12
2001/0026,2001-02-13
2001/0026,2001-02-14
